id,timestamp,temperature,humidity,precipitation,wind_speed,weather_code,description
11053,2026-03-06 00:28:00+00,13.4,70,0,3.6,3,overcast
11054,2026-03-06 00:29:00+00,13.4,70,0,3.6,3,overcast
11055,2026-03-06 00:30:00+00,13.3,71,0,3.2,3,overcast
11056,2026-03-06 00:31:00+00,13.3,71,0,3.2,3,overcast
11057,2026-03-06 00:33:00+00,13.3,71,0,3.2,3,overcast
11058,2026-03-06 00:34:00+00,13.3,71,0,3.2,3,overcast
11059,2026-03-06 00:35:00+00,13.3,71,0,3.2,3,overcast
11060,2026-03-06 00:36:00+00,13.3,71,0,3.2,3,overcast
11061,2026-03-06 00:37:00+00,13.3,71,0,3.2,3,overcast
11062,2026-03-06 00:38:00+00,13.3,71,0,3.2,3,overcast
11063,2026-03-06 00:39:00+00,13.3,71,0,3.2,3,overcast
11064,2026-03-06 00:40:00+00,13.3,71,0,3.2,3,overcast
11065,2026-03-06 00:41:00+00,13.3,71,0,3.2,3,overcast
11066,2026-03-06 00:42:00+00,13.3,71,0,3.2,3,overcast
11067,2026-03-06 00:43:00+00,13.3,71,0,3.2,3,overcast
11068,2026-03-06 00:44:00+00,13.3,71,0,3.2,3,overcast
11069,2026-03-06 00:45:00+00,13.2,71,0,2.9,2,partly cloudy
11070,2026-03-06 00:46:00+00,13.2,71,0,2.9,2,partly cloudy
11071,2026-03-06 00:47:00+00,13.2,71,0,2.9,2,partly cloudy
11072,2026-03-06 00:49:00+00,13.2,71,0,2.9,2,partly cloudy
11073,2026-03-06 00:50:00+00,13.2,71,0,2.9,2,partly cloudy
11074,2026-03-06 00:51:00+00,13.2,71,0,2.9,2,partly cloudy
11075,2026-03-06 00:52:00+00,13.2,71,0,2.9,2,partly cloudy
11076,2026-03-06 00:53:00+00,13.2,71,0,2.9,2,partly cloudy
11077,2026-03-06 00:54:00+00,13.2,71,0,2.9,2,partly cloudy
11078,2026-03-06 00:55:00+00,13.2,71,0,2.9,2,partly cloudy
11079,2026-03-06 00:56:00+00,13.2,71,0,2.9,2,partly cloudy
11080,2026-03-06 00:57:00+00,13.2,71,0,2.9,2,partly cloudy
11081,2026-03-06 00:58:00+00,13.2,71,0,2.9,2,partly cloudy
11082,2026-03-06 00:59:00+00,13.2,71,0,2.9,2,partly cloudy
11083,2026-03-06 01:00:00+00,13.2,72,0,2.9,2,partly cloudy
11084,2026-03-06 01:01:00+00,13.2,72,0,2.9,2,partly cloudy
11085,2026-03-06 01:03:00+00,13.2,72,0,2.9,2,partly cloudy
11086,2026-03-06 01:04:00+00,13.2,72,0,2.9,2,partly cloudy
11087,2026-03-06 01:05:00+00,13.2,72,0,2.9,2,partly cloudy
11088,2026-03-06 01:06:00+00,13.2,72,0,2.9,2,partly cloudy
11089,2026-03-06 01:07:00+00,13.2,72,0,2.9,2,partly cloudy
11090,2026-03-06 01:08:00+00,13.2,72,0,2.9,2,partly cloudy
11091,2026-03-06 01:09:00+00,13.2,72,0,2.9,2,partly cloudy
11092,2026-03-06 01:10:00+00,13.2,72,0,2.9,2,partly cloudy
11093,2026-03-06 01:11:00+00,13.2,72,0,2.9,2,partly cloudy
11094,2026-03-06 01:12:00+00,13.2,72,0,2.9,2,partly cloudy
11095,2026-03-06 01:13:00+00,13.2,72,0,2.9,2,partly cloudy
11096,2026-03-06 01:14:00+00,13.2,72,0,2.9,2,partly cloudy
11097,2026-03-06 01:15:00+00,13,73,0,2.5,2,partly cloudy
11098,2026-03-06 01:16:00+00,13,73,0,2.5,2,partly cloudy
11099,2026-03-06 01:18:00+00,13,73,0,2.5,2,partly cloudy
11100,2026-03-06 01:19:00+00,13,73,0,2.5,2,partly cloudy
11101,2026-03-06 01:20:00+00,13,73,0,2.5,2,partly cloudy
11102,2026-03-06 01:21:00+00,13,73,0,2.5,2,partly cloudy
11103,2026-03-06 01:22:00+00,13,73,0,2.5,2,partly cloudy
11104,2026-03-06 01:23:00+00,13,73,0,2.5,2,partly cloudy
11105,2026-03-06 01:24:00+00,13,73,0,2.5,2,partly cloudy
11106,2026-03-06 01:25:00+00,13,73,0,2.5,2,partly cloudy
11107,2026-03-06 01:26:00+00,13,73,0,2.5,2,partly cloudy
11108,2026-03-06 01:27:00+00,13,73,0,2.5,2,partly cloudy
11109,2026-03-06 01:28:00+00,13,73,0,2.5,2,partly cloudy
11110,2026-03-06 01:29:00+00,13,73,0,2.5,2,partly cloudy
11111,2026-03-06 01:30:00+00,12.8,75,0,2.2,2,partly cloudy
11112,2026-03-06 01:31:00+00,12.8,75,0,2.2,2,partly cloudy
11113,2026-03-06 01:33:00+00,12.8,75,0,2.2,2,partly cloudy
11114,2026-03-06 01:34:00+00,12.8,75,0,2.2,2,partly cloudy
11115,2026-03-06 01:35:00+00,12.8,75,0,2.2,2,partly cloudy
11116,2026-03-06 01:36:00+00,12.8,75,0,2.2,2,partly cloudy
11117,2026-03-06 01:37:00+00,12.8,75,0,2.2,2,partly cloudy
11118,2026-03-06 01:38:00+00,12.8,75,0,2.2,2,partly cloudy
11119,2026-03-06 01:39:00+00,12.8,75,0,2.2,2,partly cloudy
11120,2026-03-06 01:40:00+00,12.8,75,0,2.2,2,partly cloudy
